card_id,implementation,hooks,source_kind,upstream_repositories,upstream_match_count,verification_status
CORE_BT_351,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",11,regression_suite_only
CORE_BT_480,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",5,regression_suite_only
CORE_BT_493,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",3,regression_suite_only
CORE_BT_510,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",3,regression_suite_only
CORE_BT_701,legacy_compatibility,,local_legacy,RosettaStone,2,regression_suite_only
CORE_CATA_001,legacy_compatibility,,local_legacy,,0,regression_suite_only
CORE_CFM_344,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",2,regression_suite_only
CORE_CS2_004,declarative,spell,upstream_adapted,"RosettaStone,fireplace",12,focused_test_and_regression
CORE_CS2_062,declarative,spell,upstream_adapted,"RosettaStone,fireplace",6,focused_test_and_regression
CORE_CS2_065,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",7,regression_suite_only
CORE_CS2_122,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",13,regression_suite_only
CORE_CS2_188,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",13,regression_suite_only
CORE_CS2_189,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",5,regression_suite_only
CORE_CS2_222,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",12,regression_suite_only
CORE_DRG_024,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",3,regression_suite_only
CORE_DRG_079,legacy_compatibility,,local_legacy,RosettaStone,2,regression_suite_only
CORE_DRG_107,declarative,deathrattle,upstream_adapted,"RosettaStone,fireplace",3,focused_test_and_regression
CORE_DRG_256,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",3,regression_suite_only
CORE_EDR_003,legacy_compatibility,,local_legacy,,0,regression_suite_only
CORE_EX1_002,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",4,regression_suite_only
CORE_EX1_010,legacy_compatibility,,local_legacy,RosettaStone,4,regression_suite_only
CORE_EX1_011,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",5,regression_suite_only
CORE_EX1_012,declarative,deathrattle,upstream_adapted,"RosettaStone,fireplace",6,focused_test_and_regression
CORE_EX1_014,declarative,battlecry,upstream_adapted,"RosettaStone,fireplace",4,focused_test_and_regression
CORE_EX1_043,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",13,regression_suite_only
CORE_EX1_100,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",4,regression_suite_only
CORE_EX1_110,declarative,deathrattle,upstream_adapted,"RosettaStone,fireplace",8,focused_test_and_regression
CORE_EX1_162,legacy_compatibility,,local_legacy,"RosettaStone,fireplace",13,regression_suite_only
